abbr,city,cityEn,conference,country,displayAbbr,displayAffiliation,displayConference,displayName,displayNameEn,division,dob,draftYear,experience,firstInitial,firstName,firstNameEn,height,id,isAllStarTeam,isLeagueTeam,jerseyNo,lastName,lastNameEn,name,nameEn,playerId,player_code,player_leagueId,position,schoolType,team_code,team_leagueId,weight
ORL,奥兰多,Orlando,Eastern,美国,魔术,Pittsburgh/United States,东部,贾迈尔 阿蒂斯,Jamel Artis,东南分区,726814800000,2017,0,贾迈尔,贾迈尔,Jamel,2米01,1610612753,False,True,0,阿蒂斯,Artis,魔术,Magic,1628503,jamel_artis,00,后卫,College,magic,00,"96,6 公斤"
NOP,新奥尔良,New Orleans,Western,土耳其,鹈鹕,Turkey/Turkey,西部,欧米尔 阿西克,Omer Asik,西南分区,520833600000,2008,7,欧米尔,欧米尔,Omer,2米13,1610612740,False,True,3,阿西克,Asik,鹈鹕,Pelicans,201600,omer_asik,00,中锋,Country,pelicans,00,"115,7 公斤"
ORL,奥兰多,Orlando,Eastern,美国,魔术,Texas/United States,东部,D.J. 奥古斯汀,D.J. Augustin,东南分区,563518800000,2008,9,D.J.,D.J.,D.J.,1米83,1610612753,False,True,14,奥古斯汀,Augustin,魔术,Magic,201571,d.j._augustin,00,后卫,College,magic,00,"83,0 公斤"
ATL,亚特兰大,Atlanta,Eastern,美国,老鹰,Nevada/United States,东部,卢克 巴比特,Luke Babbitt,东南分区,614318400000,2010,7,卢克,卢克,Luke,2米06,1610612737,False,True,8,巴比特,Babbitt,老鹰,Hawks,202337,luke_babbitt,00,前锋,College,hawks,00,"102,1 公斤"
CHA,夏洛特,Charlotte,Eastern,美国,黄蜂,Florida State/United States,东部,德维恩 培根,Dwayne Bacon,东南分区,809755200000,2017,0,德维恩,德维恩,Dwayne,2米01,1610612766,False,True,7,培根,Bacon,黄蜂,Hornets,1628407,dwayne_bacon,00,后卫-前锋,College,hornets,00,"99,8 公斤"
NYK,纽约,New York,Eastern,美国,尼克斯,Wichita State/United States,东部,罗恩 贝克,Ron Baker,大西洋分区,733467600000,2016,1,罗恩,罗恩,Ron,1米93,1610612752,False,True,31,贝克,Baker,尼克斯,Knicks,1627758,ron_baker,00,后卫,College,knicks,00,"99,8 公斤"
POR,波特兰,Portland,Western,美国,开拓者,Vanderbilt/United States,西部,韦德 鲍德温四世,Wade Baldwin IV,西北分区,828075600000,2016,1,韦德,韦德,Wade,1米93,1610612757,False,True,2,鲍德温四世,Baldwin IV,开拓者,Trail Blazers,1627735,wade_baldwin iv,00,后卫,College,blazers,00,"91,6 公斤"
LAL,洛杉矶,Los Angeles,Western,美国,湖人,California-Los Angeles/United States,西部,朗佐 鲍尔,Lonzo Ball,太平洋分区,877928400000,2017,0,朗佐,朗佐,Lonzo,1米98,1610612747,False,True,2,鲍尔,Ball,湖人,Lakers,1628366,lonzo_ball,00,后卫,College,lakers,00,"86,2 公斤"
DAL,达拉斯,Dallas,Western,波多黎各,小牛,Northeastern/Puerto Rico,西部,J.J. 巴里亚,J.J. Barea,西南分区,457070400000,2006,11,J.J.,J.J.,J.J.,1米83,1610612742,False,True,5,巴里亚,Barea,小牛,Mavericks,200826,j.j._barea,00,后卫,College,mavericks,00,"83,9 公斤"
DAL,达拉斯,Dallas,Western,美国,小牛,North Carolina/United States,西部,哈里森 巴恩斯,Harrison Barnes,西南分区,707198400000,2012,5,哈里森,哈里森,Harrison,2米03,1610612742,False,True,40,巴恩斯,Barnes,小牛,Mavericks,203084,harrison_barnes,00,前锋,College,mavericks,00,"102,1 公斤"
DEN,丹佛,Denver,Western,美国,掘金,Memphis/United States,西部,威尔 巴顿,Will Barton,西北分区,663138000000,2012,5,威尔,威尔,Will,1米98,1610612743,False,True,5,巴顿,Barton,掘金,Nuggets,203115,will_barton,00,后卫-前锋,College,nuggets,00,"86,2 公斤"
CHA,夏洛特,Charlotte,Eastern,法国,黄蜂,"Lisieux, France/France",东部,尼古拉斯 巴图姆,Nicolas Batum,东南分区,598078800000,2008,9,尼古拉斯,尼古拉斯,Nicolas,2米03,1610612766,False,True,5,巴图姆,Batum,黄蜂,Hornets,201587,nicolas_batum,00,后卫-前锋,Country,hornets,00,"90,7 公斤"
PHI,费城,Philadelphia,Eastern,美国,76人,Arizona/United States,东部,杰里 贝勒斯,Jerryd Bayless,大西洋分区,588052800000,2008,9,杰里,杰里,Jerryd,1米91,1610612755,False,True,0,贝勒斯,Bayless,76人,Sixers,201573,jerryd_bayless,00,后卫,College,sixers,00,"90,7 公斤"
BOS,波士顿,Boston,Eastern,澳洲,凯尔特人,Washington State/Australia,东部,阿隆 贝恩斯,Aron Baynes,大西洋分区,534488400000,2009,5,阿隆,阿隆,Aron,2米08,1610612738,False,True,46,贝恩斯,Baynes,凯尔特人,Celtics,203382,aron_baynes,00,中锋-前锋,College,celtics,00,"117,9 公斤"
ATL,亚特兰大,Atlanta,Eastern,美国,老鹰,Old Dominion/United States,东部,肯特 贝兹莫尔,Kent Bazemore,东南分区,615268800000,2012,5,肯特,肯特,Kent,1米96,1610612737,False,True,24,贝兹莫尔,Bazemore,老鹰,Hawks,203145,kent_bazemore,00,前锋-后卫,College,hawks,00,"91,2 公斤"
WAS,华盛顿,Washington,Eastern,美国,奇才,Florida/United States,东部,布拉德利  比尔,Bradley Beal,东南分区,741240000000,2012,5,布拉德利 ,布拉德利 ,Bradley,1米96,1610612764,False,True,3,比尔,Beal,奇才,Wizards,203078,bradley_beal,00,后卫,College,wizards,00,"93,9 公斤"
DEN,丹佛,Denver,Western,美国,掘金,Florida State/United States,西部,马利克 比斯利,Malik Beasley,西北分区,848984400000,2016,1,马利克,马利克,Malik,1米96,1610612743,False,True,25,比斯利,Beasley,掘金,Nuggets,1627736,malik_beasley,00,后卫,College,nuggets,00,"88,9 公斤"
NYK,纽约,New York,Eastern,美国,尼克斯,Kansas State/United States,东部,迈克尔 比斯利,Michael Beasley,大西洋分区,600325200000,2008,9,迈克尔,迈克尔,Michael,2米06,1610612752,False,True,8,比斯利,Beasley,尼克斯,Knicks,201563,michael_beasley,00,前锋,College,knicks,00,"106,6 公斤"
ATL,亚特兰大,Atlanta,Eastern,意大利,老鹰,"Bologna, Italy/Italy",东部,马尔科 贝里内利,Marco Belinelli,东南分区,512110800000,2007,10,马尔科,马尔科,Marco,1米96,1610612737,False,True,3,贝里内利,Belinelli,老鹰,Hawks,201158,marco_belinelli,00,后卫-前锋,Country,hawks,00,"95,3 公斤"
GSW,金州,Golden State,Western,美国,勇士,Oregon/United States,西部,乔丹 贝尔,Jordan Bell,太平洋分区,789454800000,2017,0,乔丹,乔丹,Jordan,2米03,1610612744,False,True,2,贝尔,Bell,勇士,Warriors,1628395,jordan_bell,00,前锋,College,warriors,00,"102,1 公斤"
ATL,亚特兰大,Atlanta,Eastern,美国,老鹰,Saint Joseph's/United States,东部,DeAndre' 本布里,DeAndre' Bembry,东南分区,773294400000,2016,1,DeAndre',DeAndre',DeAndre',1米98,1610612737,False,True,95,本布里,Bembry,老鹰,Hawks,1627761,deandre'_bembry,00,前锋-后卫,College,hawks,00,"95,3 公斤"
PHX,菲尼克斯,Phoenix,Western,波斯尼亚,太阳,Bosnia,西部,德拉甘 本德尔,Dragan Bender,太平洋分区,879742800000,2016,1,德拉甘,德拉甘,Dragan,2米16,1610612756,False,True,35,本德尔,Bender,太阳,Suns,1627733,dragan_bender,00,前锋,,suns,00,"102,1 公斤"
SAS,圣安东尼奥,San Antonio,Western,拉脱维亚,马刺,Latvia,西部,戴维斯 贝尔坦斯,Davis Bertans,西南分区,721544400000,2011,1,戴维斯,戴维斯,Davis,2米08,1610612759,False,True,42,贝尔坦斯,Bertans,马刺,Spurs,202722,davis_bertans,00,前锋,,spurs,00,"95,3 公斤"
LAC,洛杉矶,LA,Western,美国,快船,Arkansas/United States,西部,帕特里克 贝弗利,Patrick Beverley,太平洋分区,584683200000,2009,5,帕特里克,帕特里克,Patrick,1米85,1610612746,False,True,21,贝弗利,Beverley,快船,Clippers,201976,patrick_beverley,00,后卫,College,clippers,00,"83,9 公斤"
ORL,奥兰多,Orlando,Eastern,加拿大,魔术,Nevada-Las Vegas/Canada,东部,肯姆 博奇,Khem Birch,东南分区,717652800000,0,0,肯姆,肯姆,Khem,2米06,1610612753,False,True,24,博奇,Birch,魔术,Magic,203920,khem_birch,00,中锋,College,magic,00,"99,8 公斤"
BOS,波士顿,Boston,Eastern,美国,凯尔特人,California/United States,东部,贾巴里 伯德,Jabari Bird,大西洋分区,773208000000,2017,0,贾巴里,贾巴里,Jabari,1米98,1610612738,False,True,26,伯德,Bird,凯尔特人,Celtics,1628444,jabari_bird,00,后卫,College,celtics,00,"89,8 公斤"
ORL,奥兰多,Orlando,Eastern,刚果民主共和国,魔术,"Lubumbashi, DR Congo/Democratic Republic of the Congo",东部,俾斯麦 比永博,Bismack Biyombo,东南分区,714974400000,2011,6,俾斯麦,俾斯麦,Bismack,2米06,1610612753,False,True,11,比永博,Biyombo,魔术,Magic,202687,bismack_biyombo,00,中锋,Country,magic,00,"115,7 公斤"
MIN,明尼苏达,Minnesota,Western,塞尔维亚,森林狼,Serbia,西部,内马尼亚 别利察,Nemanja Bjelica,西北分区,579153600000,2010,2,内马尼亚,内马尼亚,Nemanja,2米08,1610612750,False,True,8,别利察,Bjelica,森林狼,Timberwolves,202357,nemanja_bjelica,00,前锋,,timberwolves,00,"104,3 公斤"
HOU,休斯顿,Houston,Western,美国,火箭,Kansas/United States,西部,塔里克 布莱克,Tarik Black,西南分区,690786000000,2014,3,塔里克,塔里克,Tarik,2米06,1610612745,False,True,28,布莱克,Black,火箭,Rockets,204028,tarik_black,00,前锋-中锋,College,rockets,00,"113,4 公斤"
CHI,芝加哥,Chicago,Eastern,美国,公牛,Louisiana State/United States,东部,安东尼奥 布雷克尼,Antonio Blakeney,中央分区,844401600000,2017,0,安东尼奥,安东尼奥,Antonio,1米93,1610612741,False,True,9,布雷克尼,Blakeney,公牛,Bulls,1628469,antonio_blakeney,00,后卫,College,bulls,00,"89,4 公斤"
PHX,菲尼克斯,Phoenix,Western,美国,太阳,Kentucky/United States,西部,埃里克 布莱德索,Eric Bledsoe,太平洋分区,629182800000,2010,7,埃里克,埃里克,Eric,1米85,1610612756,False,True,2,布莱德索,Bledsoe,太阳,Suns,202339,eric_bledsoe,00,后卫,College,suns,00,"93,0 公斤"
LAL,洛杉矶,Los Angeles,Western,美国,湖人,Marquette/United States,西部,范德 布鲁,Vander Blue,太平洋分区,711345600000,2013,2,范德,范德,Vander,1米96,1610612747,False,True,17,布鲁,Blue,湖人,Lakers,203505,vander_blue,00,后卫,College,lakers,00,"90,7 公斤"
SAC,萨克拉门托,Sacramento,Western,塞尔维亚,国王,Serbia,西部,博格丹 博格丹诺维奇,Bogdan Bogdanovic,太平洋分区,714110400000,2014,0,博格丹,博格丹,Bogdan,1米98,1610612758,False,True,8,博格丹诺维奇,Bogdanovic,国王,Kings,203992,bogdan_bogdanovic,00,后卫,,kings,00,"93,0 公斤"
IND,印第安纳,Indiana,Eastern,波斯尼亚,步行者,Bosnia,东部,博扬 博格丹诺维奇,Bojan Bogdanovic,中央分区,608875200000,2011,3,博扬,博扬,Bojan,2米03,1610612754,False,True,44,博格丹诺维奇,Bogdanovic,步行者,Pacers,202711,bojan_bogdanovic,00,前锋,None,pacers,00,"104,3 公斤"
LAL,洛杉矶,Los Angeles,Western,澳洲,湖人,Utah/Australia,西部,安德鲁 博古特,Andrew Bogut,太平洋分区,470466000000,2005,12,安德鲁,安德鲁,Andrew,2米13,1610612747,False,True,66,博古特,Bogut,湖人,Lakers,101106,andrew_bogut,00,中锋,College,lakers,00,"117,9 公斤"
MIL,密尔沃基,Milwaukee,Eastern,俄罗斯,雄鹿,Weber State/Russia,东部,乔尔 博罗姆博伊,Joel Bolomboy,中央分区,759733200000,2016,1,乔尔,乔尔,Joel,2米06,1610612749,False,True,24,博罗姆博伊,Bolomboy,雄鹿,Bucks,1627762,joel_bolomboy,00,前锋-中锋,College,bucks,00,"106,6 公斤"
PHX,菲尼克斯,Phoenix,Western,美国,太阳,Kentucky/United States,西部,德文 布克,Devin Booker,太平洋分区,846651600000,2015,2,德文,德文,Devin,1米98,1610612756,False,True,1,布克,Booker,太阳,Suns,1626164,devin_booker,00,后卫,College,suns,00,"95,3 公斤"
BKN,布鲁克林,Brooklyn,Eastern,美国,篮网,Clemson/United States,东部,特雷沃 布克,Trevor Booker,大西洋分区,564814800000,2010,7,特雷沃,特雷沃,Trevor,2米03,1610612751,False,True,35,布克,Booker,篮网,Nets,202344,trevor_booker,00,前锋,College,nets,00,"103,4 公斤"
GSW,金州,Golden State,Western,加拿大,勇士,Oregon/Canada,西部,克里斯 布歇,Chris Boucher,太平洋分区,726728400000,2017,0,克里斯,克里斯,Chris,2米08,1610612744,False,True,25,布歇,Boucher,勇士,Warriors,1628449,chris_boucher,00,前锋,College,warriors,00,"90,7 公斤"
DET,底特律,Detroit,Eastern,美国,活塞,Texas/United States,东部,埃弗里 布拉德利,Avery Bradley,中央分区,659595600000,2010,7,埃弗里,埃弗里,Avery,1米88,1610612765,False,True,22,布拉德利,Bradley,活塞,Pistons,202340,avery_bradley,00,后卫,College,pistons,00,"81,6 公斤"
UTA,犹他,Utah,Western,美国,爵士,North Carolina/United States,西部,托尼 布拉德利,Tony Bradley,西北分区,884235600000,2017,0,托尼,托尼,Tony,2米08,1610612762,False,True,13,布拉德利,Bradley,爵士,Jazz,1628396,tony_bradley,00,中锋,College,jazz,00,"112,5 公斤"
LAL,洛杉矶,Los Angeles,Western,美国,湖人,Florida/United States,西部,科里 布鲁尔,Corey Brewer,太平洋分区,510382800000,2007,10,科里,科里,Corey,2米06,1610612747,False,True,3,布鲁尔,Brewer,湖人,Lakers,201147,corey_brewer,00,前锋,College,lakers,00,"84,4 公斤"
MIL,密尔沃基,Milwaukee,Eastern,美国,雄鹿,Virginia/United States,东部,马尔科姆 布罗格登,Malcolm Brogdon,中央分区,724050000000,2016,1,马尔科姆,马尔科姆,Malcolm,1米96,1610612749,False,True,13,布罗格登,Brogdon,雄鹿,Bucks,1627763,malcolm_brogdon,00,后卫,College,bucks,00,"97,5 公斤"
MIN,明尼苏达,Minnesota,Western,美国,森林狼,Oregon/United States,西部,阿隆 布鲁克斯,Aaron Brooks,西北分区,474526800000,2007,9,阿隆,阿隆,Aaron,1米83,1610612750,False,True,30,布鲁克斯,Brooks,森林狼,Timberwolves,201166,aaron_brooks,00,后卫,College,timberwolves,00,"73,0 公斤"
MEM,孟菲斯,Memphis,Western,加拿大,灰熊,Oregon/Canada,西部,狄龙 布鲁克斯,Dillon Brooks,西南分区,822286800000,2017,0,狄龙,狄龙,Dillon,1米98,1610612763,False,True,24,布鲁克斯,Brooks,灰熊,Grizzlies,1628415,dillon_brooks,00,前锋-后卫,College,grizzlies,00,"102,1 公斤"
MIN,明尼苏达,Minnesota,Western,美国,森林狼,Stanford/United States,西部,安东尼 布朗,Anthony Brown,西北分区,718689600000,2015,2,安东尼,安东尼,Anthony,2米01,1610612750,False,True,3,布朗,Brown,森林狼,Timberwolves,1626148,anthony_brown,00,前锋,College,timberwolves,00,"101,6 公斤"
HOU,休斯顿,Houston,Western,美国,火箭,Cal State-Fullerton/United States,西部,鲍比 布朗,Bobby Brown,西南分区,464846400000,2007,3,鲍比,鲍比,Bobby,1米88,1610612745,False,True,6,布朗,Brown,火箭,Rockets,201628,bobby_brown,00,后卫,College,rockets,00,"79,4 公斤"
BOS,波士顿,Boston,Eastern,美国,凯尔特人,California/United States,东部,杰伦 布朗,Jaylen Brown,大西洋分区,846129600000,2016,1,杰伦,杰伦,Jaylen,2米01,1610612738,False,True,7,布朗,Brown,凯尔特人,Celtics,1627759,jaylen_brown,00,前锋,College,celtics,00,"102,1 公斤"
TOR,多伦多,Toronto,Eastern,美国,猛龙,North Carolina State/United States,东部,洛伦佐 布朗,Lorenzo Brown,大西洋分区,651643200000,2013,3,洛伦佐,洛伦佐,Lorenzo,1米96,1610612761,False,True,4,布朗,Brown,猛龙,Raptors,203485,lorenzo_brown,00,后卫,College,raptors,00,"85,7 公斤"
MIL,密尔沃基,Milwaukee,Eastern,美国,雄鹿,Southern Methodist/United States,东部,斯特林 布朗,Sterling Brown,中央分区,792392400000,2017,0,斯特林,斯特林,Sterling,1米98,1610612749,False,True,23,布朗,Brown,雄鹿,Bucks,1628425,sterling_brown,00,后卫,College,bucks,00,"104,3 公斤"
ATL,亚特兰大,Atlanta,Eastern,阿根廷,老鹰,Argentina,东部,尼古拉斯 布鲁西诺,Nicolas Brussino,东南分区,731048400000,2015,1,尼古拉斯,尼古拉斯,Nicolas,2米03,1610612737,False,True,16,布鲁西诺,Brussino,老鹰,Hawks,1627852,nicolas_brussino,00,前锋,,hawks,00,"88,5 公斤"
LAL,洛杉矶,Los Angeles,Western,美国,湖人,Indiana/United States,西部,托马斯 布莱恩特,Thomas Bryant,太平洋分区,870321600000,2017,0,托马斯,托马斯,Thomas,2米08,1610612747,False,True,31,布莱恩特,Bryant,湖人,Lakers,1628418,thomas_bryant,00,中锋,College,lakers,00,"112,5 公斤"
DET,底特律,Detroit,Eastern,美国,活塞,North Carolina/United States,东部,雷吉 布洛克,Reggie Bullock,中央分区,669099600000,2013,4,雷吉,雷吉,Reggie,2米01,1610612765,False,True,25,布洛克,Bullock,活塞,Pistons,203493,reggie_bullock,00,前锋,College,pistons,00,"93,0 公斤"
UTA,犹他,Utah,Western,美国,爵士,Colorado/United States,西部,亚历克 伯克斯,Alec Burks,西北分区,679982400000,2011,6,亚历克,亚历克,Alec,1米98,1610612762,False,True,10,伯克斯,Burks,爵士,Jazz,202692,alec_burks,00,后卫,College,jazz,00,"97,1 公斤"
MIN,明尼苏达,Minnesota,Western,美国,森林狼,Marquette/United States,西部,吉米 巴特勒,Jimmy Butler,西北分区,621748800000,2011,6,吉米,吉米,Jimmy,2米01,1610612750,False,True,23,巴特勒,Butler,森林狼,Timberwolves,202710,jimmy_butler,00,前锋,College,timberwolves,00,"104,8 公斤"
DET,底特律,Detroit,Eastern,美国,活塞,Marquette/United States,东部,德怀特 白克斯,Dwight Buycks,中央分区,605163600000,2011,2,德怀特,德怀特,Dwight,1米91,1610612765,False,True,20,白克斯,Buycks,活塞,Pistons,202779,dwight_buycks,00,后卫,College,pistons,00,"86,2 公斤"
TOR,多伦多,Toronto,Eastern,巴西,猛龙,Brazil,东部,布鲁诺 卡波科洛,Bruno Caboclo,大西洋分区,811656000000,2014,3,布鲁诺,布鲁诺,Bruno,2米06,1610612761,False,True,5,卡波科洛,Caboclo,猛龙,Raptors,203998,bruno_caboclo,00,前锋,None,raptors,00,"93,0 公斤"
CLE,克利夫兰,Cleveland,Eastern,西班牙,骑士,"Villanueva de la Serena, Spain/Spain",东部,何塞 卡尔德隆,Jose Calderon,中央分区,370497600000,2003,12,何塞,何塞,Jose,1米91,1610612739,False,True,81,卡尔德隆,Calderon,骑士,Cavaliers,101181,jose_calderon,00,后卫,Country,cavaliers,00,"90,7 公斤"
LAL,洛杉矶,Los Angeles,Western,美国,湖人,Georgia/United States,西部,肯塔维奥斯 考德威尔-波普,Kentavious Caldwell-Pope,太平洋分区,730011600000,2013,4,肯塔维奥斯,肯塔维奥斯,Kentavious,1米96,1610612747,False,True,1,考德威尔-波普,Caldwell-Pope,湖人,Lakers,203484,kentavious_caldwell-pope,00,后卫,College,lakers,00,"93,0 公斤"
HOU,休斯顿,Houston,Western,瑞士,火箭,Switzerland,西部,克林特 卡佩拉,Clint Capela,西南分区,769233600000,2014,3,克林特,克林特,Clint,2米08,1610612745,False,True,15,卡佩拉,Capela,火箭,Rockets,203991,clint_capela,00,中锋,None,rockets,00,"108,9 公斤"
BKN,布鲁克林,Brooklyn,Eastern,美国,篮网,Missouri/United States,东部,德玛雷 卡罗尔,DeMarre Carroll,大西洋分区,522820800000,2009,8,德玛雷,德玛雷,DeMarre,2米03,1610612751,False,True,9,卡罗尔,Carroll,篮网,Nets,201960,demarre_carroll,00,前锋,College,nets,00,"97,5 公斤"
